vocalist n．流行歌手，声乐家
ordeal n．严峻考验，痛苦经验
dispatch v．派遣，一下子做完、吃完n．迅速
commotion n.骚动，动乱
arsenic n.砒霜，砷
perception n．洞察力，理解力
celibacy n．独身（主义）
coma n.昏迷状态
shroud n．寿衣，遮蔽物v．覆盖
evince v.表明,表示
burnish v．擦亮，磨光
terrace n．一层梯田，阳台
fitful adj．不安的
rampant adj．蔓生的，猖獗的
drawl v．慢吞吞说，拉长腔调说
indigent adj．贫穷的，贫困的
wanton adj．顽皮的，放纵的
reprieve n．v．缓刑，暂时解救
reconnaissance n．侦察，预先探索
lobe n．耳垂，（肺，肝等的）叶
porous adj．可渗透的,多孔的
descant n.合唱，详述
psalm n．赞美诗,圣诗
agitation n．鼓动，焦虑
aggrieved adj．（因受伤害而）愤愤不平的，痛心的
packed adj．充满人的，拥挤的
stripling 　n．年轻男子
undaunted adj．不屈不挠的，无畏的
pretentious adj．做作的,自抬身价的
meritorious 　adj．值得赞赏的
dehydrate v．除去水份，脱水
ambiguous adj．含糊的，不坦率的
surfeit n．（食物）过量，过度
venial adj．（错误等）轻微的，可原谅的
knit v．编结，针织
generator n．发电机
splenetic adj．脾气暴的，易怒的
clientele n.(医生、律师的)顾客，(商店的)常客
lucre n．钱，利益
convoke v．召集会议
rectification n．改正，校正，提纯
debauchery n．放荡，沉缅酒色
pell-mell adv．混乱地，匆促地
encroachment n．侵入，侵犯
pander v.迎合
poltroon n．懦夫
leach v．分离，过滤掉
mecca n.众人渴望去的地方
subliminal adj．潜意识的，下意识的
poky adj.(地方)狭小的,不舒适的
shopsoiled adj.残破的，陈旧的
loom n．织布机，v．隐约出现
fresco n．壁画
vainglorious adj．自负的，虚荣心强的
exclusion n.拒绝，排斥
banister n.(楼梯的)栏杆
anachronism n．年代错误，落伍之物
bumpkin n.粗人，乡巴佬
pawn n．v．典当，抵押，n．小人物，走卒
remodel v．重建，改变形状
desuetude n．废止，不用
aperitif n.开胃酒
tycoon n．有钱有势的企业家，大亨
rig v．欺骗，舞弊，伪造
replicate v．重复，复制
reproach n．谴责，责骂
impetus n．推动力，刺激
corporate adj．团体的，共同的
chassis n．(汽车的)底盘
greenhouse n．花房，温室
welsh v．赖债不还，失信
sleek v．（使）光滑，adj．光滑的，整洁的
leonine adj．狮子的
errand n．差使,差事
beatitude n．至福，十分幸福
stolid 　adj．无动于衷的，感情麻木的
dune n．沙丘
aboriginal n．原始居民，土著
dolorous adj．悲哀的，忧愁的
promenade n．v．散步,开车兜风
cupidity n．贪婪
searing adj．灼热的
sabre n．军刀，击剑用刀
paroxysm n．突发，阵发
bulwark n．堡垒，保障
distressing adj．使人痛苦的
fathom n．英(量水深,等于1.8米)v.彻底明白,了解
debut n．初次登台，初次露面
reverberant adj．起回声的
linger v．逗留，留恋
obstruction n．阻挠，障碍物
celibate n．adj．独身者，不结婚的．
underplay v.轻描淡写，表演不充分
sublime adj雄伟的，崇高的，n．顶峰
hysteria n．歇斯底里症，过度兴奋
gaiety n．欢乐，快活
forgo v．放弃，抛弃
gargoyle n．（雕刻成怪兽状的）滴水嘴，面貌丑恶的人
seethe v．沸腾，汹涌
providence n．深谋远虑,远见
peek v．偷看
remediable adj．可纠正的，可治疗的
avow v.承认,公开宣称
tinder n．火绒，火种
beaver n．海狸
craving n．强烈的欲望
mendacious adj不真的，撒谎的
captious adj．吹毛求疵的
staid adj．稳重的，沉着的
stymie v．妨碍，阻挠
militant adj．好战的，好暴力的
ensign n．舰旗(船上表示所属国家的旗帜)
sprinkling n．点滴，少数
ingenuity n．巧思，聪敏
effusive adj．流出的，感情奔放的
grope v．摸索，探索
flak n．高射炮，指责
trifle n．微不足道，琐事
detour n．弯路，绕行之路
haft n．柄，把柄
telepathy n．心灵感应，精神感应
empirical adj．经验的、实证的
lint n．保护伤口的软布
epidemic adj．传染性的，流行性的
statuette n．小雕像
ultimate adj．最后的，最终的
famished adj．非常饥饿的
plague n．瘟疫,讨厌的人或物v．烦扰
pony n．小马
accoutrements n．（军服，武器之外的）装备，配备（
pucker v．起皱n．皱褶
sedulous adj．聚精会神的、勤勉的
haversack n肩背包，干粮袋
deed n．行为，（土地或建筑物的）契约、证书
indescribable adj．（美得）无法形容的（
buckle n．皮带扣环v．扣紧
betray v．背叛，暴露
eulogy n.颂词，颂文
embezzlement n.贪污，侵吞
sliver n．长条，细片，v．裂成细片
resurgence n．复兴，再起
rehearsal n．排演，排练
poky adj.(地方)狭小的,不舒适的
literal adj．精确的、忠实原义的
skimpy adj．吝啬的，贫乏的
toxin n．毒素，毒质
correlate n．相关的事物
aggrandize v．增大，扩张
intransigent adj．不妥协的，固执的
bale n.大包裹,灾祸,不幸
remunerative adj．报酬高的，有利润的
pony n．小马
horn n．（牛羊之）角，号角
intrusion n．私闯，干扰
envisage v．正视,想象
neologism n．新字，新义
deterrent adj．威慑的，制止的
sibylline adj．预言的
curdle v．使凝结，变稠
dupe n．受骗的人，上当者
detour n．弯路，绕行之路
avalanche n.雪崩
contentious adj．好辩的，喜争吵的
archaeology n．考古学
prevision n．先见,预感
cannibalism n．同类相食
grievous adj．严重伤害的，引起痛苦的
maxim n．格言，普遍真理
mooch v.闲荡，溜达
accomplice n．同谋者，帮凶
pointer n．一种短毛猎犬
safari n．狩猎旅行，长途考察
hatchet n．短柄小斧v．扼杀
decomposition n．腐烂，崩溃
cougar n．美洲豹
morose adj．脾气坏的，不高兴的
ferret n．雪貂，v．搜寻
coalesce v.联合，合并，结合
legible adj．可辩认的，易读的
chortle v．n.开心地笑
avarice n.贪财,贪婪
discretion n．谨慎，审慎
hassle n．激烈的辩论
symmetrical adj．对称的
retinue n．侍从，随员
caper v．n．雀跃，欢蹦
cavil v．挑毛病，吹毛求疵
spinney n.小树林
sedentary adj．久坐的，固定不动的
encapsulate v．装入胶囊,压缩
dilate v．（身体某部位）张大，扩大
queue v．n．长队，排队
sophisticated adj．老于世故的，（仪器）精密的
adjacent adj．接近的，毗连的
hidebound adj．顽固的，心胸狭窄的
gnawing adj．痛苦的，折磨人的
foil v．阻挠
sanguine adj．充满希望的，乐观的
libel v．n．（文字）诽谤，中伤
minion n．奴才，低三下四之人
shareholder n．股东
palliation n．减轻，缓和
jigsaw puzzlen．拼图游戏
polarity n．极端性,二极分化
prospective adj．未来的,预期的
lackadaisical adj．无精打采的，无兴趣的
enthrall v．迷惑,迷住
denounce v．指责，揭发
dogmatic adj．教条的，教义的
exchequer n.国库，财源
ontology n．实体论，本体论
autocracy n.独裁政体
patch n．补丁，一小片（土地）
edict n．法令、命令
corporal adj．肉体的，身体的
scrub n．矮树丛，身体矮小的人
totter v．摇摇欲坠，步伐蹒跚
primeval n．原始的,早期的
superb adj．上乘的，出色的
motivation n．动机，目的
brazen adj．无耻的，厚脸皮的
climacteric n.重要的转折点，危机期
foyer n．门厅，休息室
subsume 　v．包含，包容
gazetteer n．地名词典，地名表
inconsolable adj．无所慰籍的，极度沮丧的
plasticity n．可塑性
intemperate adj．无节制的,放纵的
eminence n．卓越、杰出
lingering adj．拖延的，依依不舍的
proponent n．支持者,拥护者
retarded adj．智力迟钝的
foreordain v.预先注定
overture n．前奏曲、序曲
cranky adj．怪癖的，不稳的
treachery n．阴险，背叛
gratification n．满足，喜悦
infuriate v．使（人）极为愤怒
speleology n．洞穴学
extradite v．引渡回国,拿获归案
compendium n.简要，概略
venal adj．唯利是图的，贪脏枉法的
contraction n．收缩
laborious adj．费力的，吃力的
factitious adj．人为的，不真实的
fluke n．侥幸，偶然的机会
abandon v．n．放弃，放纵
specter n．鬼魂，幽灵，恐惧
symmetry n．对称，均衡
pretended adj．假的,虚伪的
lurch n．突然向前或旁边倒v．蹒跚而行
onerous adj．繁重的、麻烦的
dyspepsia n．消化不良（
