juxtaposition n．并排
furbish v．磨光，刷新
balm n.香油,药膏
onlooker n．旁观者
coffer n.保险箱
nethermost adj．最低的，最下方的
concurrent adj．同时发生的，一致的
negotiable adj．可商量的，（支票）可兑现的
chagrined adj．失望的，灰心的
destruction n．毁坏，毁灭（的原因）
introvert v．内向的人
pedestrian adj．徒步的，缺乏想像的n．行人
aviary n.大鸟笼,鸟舍
spasm n．痉挛，抽筋
cosset v.宠爱，娇养
mesa n．高台地，平项山
vainglorious adj．自负的，虚荣心强的
stripe 　n．条纹，斑纹，类型
strum v.(漫不经心地)弹奏
liberality n．慷慨，心胸开阔
bygone adj.过去的，昔日的
hook n．钩、钓钩
synonymous adj．同义的
pathetic adj．引起怜悯的，令人难过的
modulate v．调整（音的强弱），变调
heinous adj．可憎的，十恶不赦的
nonconformity n．不遵从（传统）
proclivity n．倾向,癖性
didactic adj．教诲的、说教的
calligraphy n．书法
viscosity n．粘度，粘性
resort n．度假胜地
commensurate adj.同样大小的，相称的
memento n．纪念品
zygote n．接合子，受精卵
cursory adj．粗略的，草率的
plaster n灰泥,石膏．v．抹泥
eccentricity n．反常，怪癖
tugboat n．拖船
incision n．切口，切割
parturition n．生产，分娩
skeptical adj．怀疑的
hassle n．激烈的辩论
perception n．洞察力，理解力
homogenize v．使均匀，使一致
regulation n．管理，规则，法令
amoral adj．不知是非的
withdraw v．撤退，收回
conversant adj．精通的，熟知的
priority n．在先,居前,优先权
promiscuity n．滥交,混杂
recalcitrance n．固执，顽抗
prank n．恶作剧,玩笑
attainment n.完成,成就
patriarchy n．家长，父系社会
inducement n．引诱物
juvenile adj．少年的，似少年的
suitor n．求婚者，（法律）原告
egress n.出去，出口
filial piety孝心
proclivity n．倾向,癖性
broil n.v.争吵，怒骂
even adj.平坦的v.使平,使相等
subtlety n．狡猾，微妙（的感情）
sober adj．清醒的，庄重的
ravenous adj．饿极了的，贪婪的
simile n．直喻，明喻
bibliography n.文献学，
gibe v．n．嘲弄，讥笑
hinterland n．内地，穷乡僻壤
interlude n．(活动间的)暂时休息
hapless adj．不幸的
forge n．铁匠铺，v．锤炼，伪造
matriarchy n．母权制，妇女统治
meditative adj．沉思的、冥想的
congenital adj．（病等）先天的，天生的
smirk v．假笑，得意地笑
marsh n．沼泽地，湿地
antecedence n．居先，在先
recuperative adj．有助恢复健康的
intaglio n.凹雕艺术
seclude v．和别人隔离
crease n．折缝，皱痕
adorn v．装饰
inveterate adj．积习已深的
nib n．钢笔尖
remediable adj．可纠正的，可治疗的
abstain v．自动戒绝，抑制
lenient adj．宽大的，仁慈的
eccentricity n．反常，怪癖
rue n．后悔，遗憾．
ardent adj．热心的，热烈的
slate n．石板，候选人名单v．提名
bamboozle v.欺骗，隐瞒
pernicious adj．有害的，致命的
synopsis n．摘要，概要
supple adj伸屈自如的，灵活的
ascent n．上升攀登
full-fledged adj．羽毛丰满的，成熟的
fumes n．（强烈而刺激的）气味，气体
porcelain n．瓷,瓷器
anthropoid adj．像人类的，类人猿的
quill n．（豪猪等动物的）刺
nominal adj．名义上的，有名无实的
stranded 　adj．搁浅的，进退两难的
podiatry n．足病科
estrangement n.疏远
lackadaisical adj．无精打采的，无兴趣的
miasma n．瘴气，坏影响
statute n．法规，法令
ineligible adj．没有资格的
impregnate v．怀孕，使充满
imminence n．急迫，危急
penitentiary n．监狱，感化院
fanfare n．夸耀,嘹亮的喇叭声
inroad n.侵袭，减少
overhaul v．n．彻底检查，大修
procrastinate v．耽搁,拖延
nonconformity n．不遵从（传统）
ally n．盟国，支持者
inkling n.暗示，细微的迹象(
rankle v．（怨恨，失望等）难以释怀
conflagration n．建筑物或森林大火
