predestine v．注定
strenuous 　adj．费力的，精力充沛的
investiture n．任职仪式，授权仪式
nippy adj.辛辣的，寒冷的
aggrandize v．增大，扩张
sphinx n．狮身人面像，谜一样的人
moor n．旷野地，荒野v．使（船）停泊
bulb n．植物的球茎
humdinger n.极好的人或事
ignorance n．无知
figurine n．小塑像，小雕像
arbitrator n．公断人
clench v.握紧，咬紧(牙关)
dainty n．精美食品，adj．娇美的，挑剔的
momentum n．推进力，势头
surfeit n．（食物）过量，过度
