empirical adj．经验的、实证的
pen n．围栏，监禁
ambidextrous adj．十分灵巧的
calligraphy n．书法
double-cross v.欺骗，出卖
hollow adj．中间空的，空洞的
arsenic n.砒霜，砷
aromatic adj．芳香的
shareholder n．股东
peripheral adj．不重要的，外围的
sanatorium n．疗养院，休养所
rein n．缰绳　v．控制
minatory adj．威胁的，恫吓的
retiring adj．隐居的，不喜社交的
impassioned adj．慷慨激昂的
mire n．泥沼，困境
anonymity n．无名、匿名
contention n．争论，论点
purchase n．支点(阻止东西下滑)
halt v.暂停前进，停止
avid adj.渴望的,热心的
barrage n.火力网，弹幕
mendacious adj不真的，撒谎的
perilous adj．危险的，冒险的
imbecile n．心智能力极低的人
hilt n．（剑或刀之）柄
pointer n．一种短毛猎犬
indomitable adj．坚强不屈的
relish n．v．味道，喜好，享受
glutinous adj．粘的，胶状的
abrogate v．废止，废除
conventionality n．陈规陋习，因袭传统
tenacity n．坚持，固执
megalith n.巨石，远古时代的巨石碑
sensual adj．肉欲的、淫荡的
homage n．效忠，崇敬
dampen v．（使）潮湿，使沮丧，泼凉水
debutante n．初次参加社交活动的少女
disintegrate v．分裂成小片，瓦解
roost v．n．栖息，鸟巢
rectitude n．诚实，正直
complacent adj.自满的，得意的
ardent adj．热心的，热烈的
wrinkle n．皱纹，窍门
expatriate v.驱逐出国,脱离国籍
cider n.苹果酒，苹果汁
bullion n．金条，银条
prerogative n．特权
archives n．档案
gadget n．小工具，小机械
skewer n．（烤肉用的）串肉杆v．用杆串好
covet v．贪求，妄想
knocker n．敲击的人，门环
mogul n．显要人物，权势之人
amendment n．改正，修正
inundate v．淹没，泛滥
scour v．擦洗，擦亮
monastery n．男修道院，僧院
terrace n．一层梯田，阳台
insolent adj．粗野的，无礼的
insinuate v．暗指，暗示
doctrinaire n．空论家，adj．教条的，迂腐的
effulgence n．灿烂的光，强光
garret n．阁楼、顶楼小室
whimsy n．古怪，异想天开
porcupine n．豪猪,箭猪
miscellany n．混合物
felicitous adj．（话语等）适当的，得体的
pettish adj．易怒的，使性子的
prohibitive adj．抑制的,价格昂贵的
sanitary adj．卫生的，清洁的
plait n．v．发辫,编成辫
sneak v．鬼鬼祟祟而行，偷窃
gourmand n．嗜食者
lounge v．懒散地斜靠，n．休息室
zealous adj．热心的，一心一意的
veto v．n．否决，禁止
grouch n．牢骚，不满．
surreptitious adj．鬼鬼祟祟的，保密的
bleachers n．（球场的）露天座位
subvention n．补助金，津贴
hoyden n．粗野的女孩，野丫头
dolorous adj．悲哀的，忧愁的
rudiments n．基础知识，入门
audacious adj.大胆的,愚勇的
virulent adj．剧毒的，恶毒的
dregs n．渣滓，糟粕
formative adj．形成的，影响发展的
cardigan n.羊毛上衣，羊毛衫(
detractor v．贬低者
purebred adj．(动物)纯种的
incarnate adj．具有肉体的，化身的
inexpedient adj．不适当的，不明智的
rabble n．乌合之众，暴民，下等人
skeptical adj．怀疑的
bug n．臭虫，窃听器
gusher n．滔滔不绝的说话者，喷油井
inflation n．膨胀，夸大
